Gene,chr,start,end
Gene_1,chr01,6376,9750
Gene_2,chr01,13938,16135
Gene_3,chr01,24245,27342
Gene_4,chr01,29098,31075
Gene_5,chr01,31983,36257
Gene_6,chr01,37993,38846
Gene_7,chr01,39008,40624
Gene_8,chr01,40883,41851
Gene_9,chr01,42548,44222
Gene_10,chr01,44453,47708
Gene_11,chr01,48876,50188
Gene_12,chr01,50591,51747
Gene_13,chr01,53093,55184
Gene_14,chr01,55387,56262
Gene_15,chr01,57170,58762
Gene_16,chr01,60620,61014
Gene_17,chr01,61308,62468
Gene_18,chr01,62933,63478
Gene_19,chr01,72706,73838
Gene_20,chr01,74358,76221
Gene_21,chr01,79156,80497
Gene_22,chr01,82344,85861
Gene_23,chr01,86384,87638
Gene_24,chr01,88365,91791
Gene_25,chr01,93649,95089
Gene_26,chr01,95592,97167
Gene_27,chr01,98345,101043
Gene_28,chr01,101623,102868
Gene_29,chr01,109060,110959
Gene_30,chr01,112411,113062
Gene_31,chr01,114014,116212
Gene_32,chr01,116863,123377
Gene_33,chr01,127637,129849
Gene_34,chr01,130600,131741
Gene_35,chr01,133118,134031
Gene_36,chr01,134555,137027
Gene_37,chr01,138282,139534
Gene_38,chr01,140564,142139
Gene_39,chr01,142958,144206
Gene_40,chr01,144770,146591
Gene_41,chr01,147351,149271
Gene_42,chr01,149681,151674
Gene_43,chr01,152267,152613
Gene_44,chr01,153474,155378
Gene_45,chr01,156929,157966
Gene_46,chr01,158102,160032
Gene_47,chr01,160738,161965
Gene_48,chr01,163674,165213
Gene_49,chr01,165733,167425
Gene_50,chr01,170970,172952
Gene_51,chr01,174191,175334
Gene_52,chr01,177411,178483
Gene_53,chr01,274903,276451
Gene_54,chr01,278323,280111
Gene_55,chr01,282212,284188
Gene_56,chr01,302641,304444
Gene_57,chr01,308728,310001
Gene_58,chr01,311810,315779
Gene_59,chr01,316322,317065
Gene_60,chr01,318931,320369
Gene_61,chr01,320673,321166
Gene_62,chr01,321408,322958
Gene_63,chr01,323239,324609
Gene_64,chr01,325781,326399
Gene_65,chr01,327250,327341
Gene_66,chr01,328242,329361
Gene_67,chr01,329397,330665
Gene_68,chr01,399296,401168
Gene_69,chr01,404037,404643
Gene_70,chr01,404938,407440
Gene_71,chr01,407614,409796
Gene_72,chr01,410306,410975
Gene_73,chr01,412217,413474
Gene_74,chr01,414614,415352
