Gene,chr,start,end
Gene_1,chr01,6377,9750
Gene_2,chr01,13939,16135
Gene_3,chr01,24246,27342
Gene_4,chr01,29099,31075
Gene_5,chr01,31984,36257
Gene_6,chr01,37994,38846
Gene_7,chr01,39009,40624
Gene_8,chr01,40884,41851
Gene_9,chr01,42549,44222
Gene_10,chr01,44454,47708
Gene_11,chr01,48877,50188
Gene_12,chr01,50592,51747
Gene_13,chr01,53094,55184
Gene_14,chr01,55388,56262
Gene_15,chr01,57171,58762
Gene_16,chr01,60621,61014
Gene_17,chr01,61309,62468
Gene_18,chr01,62934,63478
Gene_19,chr01,72707,73838
Gene_20,chr01,74359,76221
Gene_21,chr01,79157,80497
Gene_22,chr01,82345,85861
Gene_23,chr01,86385,87638
Gene_24,chr01,88366,91791
Gene_25,chr01,93650,95089
Gene_26,chr01,95593,97167
Gene_27,chr01,98346,101043
Gene_28,chr01,101624,102868
Gene_29,chr01,109061,110959
Gene_30,chr01,112412,113062
Gene_31,chr01,114015,116212
Gene_32,chr01,116864,123377
Gene_33,chr01,127638,129849
Gene_34,chr01,130601,131741
Gene_35,chr01,133119,134031
Gene_36,chr01,134556,137027
Gene_37,chr01,138283,139534
Gene_38,chr01,140565,142139
Gene_39,chr01,142959,144206
Gene_40,chr01,144771,146591
Gene_41,chr01,147352,149271
Gene_42,chr01,149682,151674
Gene_43,chr01,152268,152613
Gene_44,chr01,153475,155378
Gene_45,chr01,156930,157966
Gene_46,chr01,158103,160032
Gene_47,chr01,160739,161965
Gene_48,chr01,163675,165213
Gene_49,chr01,165734,167425
Gene_50,chr01,170971,172952
Gene_51,chr01,174192,175334
Gene_52,chr01,177412,178483
Gene_53,chr01,274904,276451
Gene_54,chr01,278324,280111
Gene_55,chr01,282213,284188
Gene_56,chr01,302642,304444
Gene_57,chr01,308729,310001
Gene_58,chr01,311811,315779
Gene_59,chr01,316323,317065
Gene_60,chr01,318932,320369
Gene_61,chr01,320674,321166
Gene_62,chr01,321409,322958
Gene_63,chr01,323240,324609
Gene_64,chr01,325782,326399
Gene_65,chr01,327251,327341
Gene_66,chr01,328243,329361
Gene_67,chr01,329398,330665
Gene_68,chr01,399297,401168
Gene_69,chr01,404038,404643
Gene_70,chr01,404939,407440
Gene_71,chr01,407615,409796
Gene_72,chr01,410307,410975
Gene_73,chr01,412218,413474
Gene_74,chr01,414615,415352
Gene_75,chr01,415788,416171
Gene_76,chr01,417402,418666
Gene_77,chr01,419361,423269
Gene_78,chr01,423660,424416
Gene_79,chr01,427166,427849
Gene_80,chr01,428253,428779
Gene_81,chr01,430242,432085
Gene_82,chr01,434737,436587
Gene_83,chr01,437327,439442
Gene_84,chr01,444960,446292
Gene_85,chr01,447036,448048
Gene_86,chr01,448382,449309
Gene_87,chr01,450100,451366
Gene_88,chr01,451905,454186
Gene_89,chr01,458290,459252
Gene_90,chr01,461112,461380
Gene_91,chr01,463449,464094
Gene_92,chr01,466618,468351
Gene_93,chr01,469367,469690
Gene_94,chr01,480457,483489
Gene_95,chr01,508067,510896
Gene_96,chr01,511900,513408
Gene_97,chr01,513900,515802
Gene_98,chr01,516635,517159
Gene_99,chr01,518489,519883
Gene_100,chr01,520357,521090
Gene_101,chr01,539035,540570
Gene_102,chr01,541818,545122
Gene_103,chr01,545754,550949
Gene_104,chr01,610770,616334
Gene_105,chr01,616641,618083
Gene_106,chr01,618884,619833
Gene_107,chr01,624381,627815
Gene_108,chr01,628451,628999
Gene_109,chr01,629480,630550
Gene_110,chr01,634468,634539
Gene_111,chr01,634863,635557
Gene_112,chr01,636761,639442
Gene_113,chr01,640037,641231
Gene_114,chr01,641496,642437
Gene_115,chr01,720198,720840
Gene_116,chr01,721445,723242
Gene_117,chr01,725338,725794
Gene_118,chr01,726551,728128
Gene_119,chr01,728893,729518
Gene_120,chr01,732027,732318
Gene_121,chr01,732548,733490
Gene_122,chr01,733995,734367
Gene_123,chr01,734887,736166
Gene_124,chr01,736393,737818
Gene_125,chr01,751802,752879
Gene_126,chr01,754201,760558
Gene_127,chr01,761140,762372
Gene_128,chr01,765535,767394
Gene_129,chr01,781061,783073
Gene_130,chr01,784086,787139
Gene_131,chr01,787830,789519
Gene_132,chr01,790508,791129
Gene_133,chr01,792077,792889
Gene_134,chr01,794949,796687
Gene_135,chr01,797548,797982
Gene_136,chr01,798199,800838
Gene_137,chr01,810428,811088
Gene_138,chr01,814955,815575
Gene_139,chr01,817531,818663
Gene_140,chr01,819605,822554
Gene_141,chr01,823151,824488
Gene_142,chr01,826364,826862
Gene_143,chr01,827635,829861
Gene_144,chr01,830730,832434
Gene_145,chr01,833195,835025
Gene_146,chr01,841586,843109
Gene_147,chr01,847422,847852
Gene_148,chr01,854532,855670
Gene_149,chr01,856206,857801
Gene_150,chr01,858605,858955
Gene_151,chr01,859008,859357
Gene_152,chr01,859733,861605
Gene_153,chr01,862910,863653
Gene_154,chr01,865063,866807
Gene_155,chr01,867906,869005
Gene_156,chr01,870817,873377
Gene_157,chr01,874467,876020
Gene_158,chr01,877130,877607
Gene_159,chr01,878118,878639
Gene_160,chr01,879260,883749
Gene_161,chr01,884685,885476
Gene_162,chr01,886861,888039
Gene_163,chr01,889151,890417
Gene_164,chr01,892107,893894
Gene_165,chr01,896445,898615
Gene_166,chr01,899662,901637
Gene_167,chr01,902781,904798
Gene_168,chr01,905036,907175
Gene_169,chr01,909716,910361
Gene_170,chr01,912455,915137
Gene_171,chr01,916346,917961
Gene_172,chr01,919209,921977
Gene_173,chr01,922753,924768
Gene_174,chr01,925730,928762
Gene_175,chr01,929793,930143
Gene_176,chr01,932079,934284
Gene_177,chr01,934531,934947
Gene_178,chr01,935198,939786
Gene_179,chr01,940353,940886
Gene_180,chr01,985765,986994
Gene_181,chr01,987282,988499
Gene_182,chr01,989003,989872
Gene_183,chr01,990284,990870
Gene_184,chr01,991382,998161
Gene_185,chr01,998930,1001046
Gene_186,chr01,1001547,1002196
Gene_187,chr01,1002634,1004736
Gene_188,chr01,1005341,1007094
Gene_189,chr01,1008025,1011376
Gene_190,chr01,1011819,1013084
Gene_191,chr01,1017692,1021027
Gene_192,chr01,1021537,1022067
Gene_193,chr01,1022667,1024114
Gene_194,chr01,1025350,1031284
Gene_195,chr01,1031643,1035881
Gene_196,chr01,1036511,1037209
Gene_197,chr01,1040698,1042554
Gene_198,chr01,1044021,1045893
Gene_199,chr01,1047185,1047269
Gene_200,chr01,1047398,1047492
Gene_201,chr01,1048148,1050302
Gene_202,chr01,1050890,1051343
Gene_203,chr01,1052214,1053089
Gene_204,chr01,1055892,1056471
Gene_205,chr01,1100708,1103125
Gene_206,chr01,1103216,1104291
Gene_207,chr01,1104685,1108701
Gene_208,chr01,1110881,1112887
Gene_209,chr01,1114429,1115335
Gene_210,chr01,1116151,1117386
Gene_211,chr01,1117989,1123300
Gene_212,chr01,1125220,1126599
Gene_213,chr01,1127603,1131563
Gene_214,chr01,1134041,1135556
Gene_215,chr01,1136750,1138654
Gene_216,chr01,1139149,1140426
Gene_217,chr01,1142931,1145980
Gene_218,chr01,1147096,1148317
Gene_219,chr01,1148424,1149947
Gene_220,chr01,1150293,1152054
Gene_221,chr01,1152546,1154812
Gene_222,chr01,1156794,1159212
Gene_223,chr01,1164326,1165689
Gene_224,chr01,1166748,1168284
Gene_225,chr01,1170123,1171414
Gene_226,chr01,1172093,1173929
Gene_227,chr01,1175623,1177677
Gene_228,chr01,1179271,1180417
Gene_229,chr01,1181517,1182524
Gene_230,chr01,1182693,1184338
Gene_231,chr01,1184478,1185585
Gene_232,chr01,1186614,1191144
Gene_233,chr01,1191268,1192191
Gene_234,chr01,1192483,1193330
Gene_235,chr01,1193739,1195470
Gene_236,chr01,1195629,1198351
