Gene,chr,start,end
Gene_1,chr1,6377,9750
Gene_2,chr1,13939,16135
Gene_3,chr1,24246,27342
Gene_4,chr1,29099,31075
Gene_5,chr1,31984,36257
Gene_6,chr1,37994,38846
Gene_7,chr1,39009,40624
Gene_8,chr1,40884,41851
Gene_9,chr1,42549,44222
Gene_10,chr1,44454,47708
Gene_11,chr1,48877,50188
Gene_12,chr1,50592,51747
Gene_13,chr1,53094,55184
Gene_14,chr1,55388,56262
Gene_15,chr1,57171,58762
Gene_16,chr1,60621,61014
Gene_17,chr1,61309,62468
Gene_18,chr1,62934,63478
Gene_19,chr1,72707,73838
Gene_20,chr1,74359,76221
Gene_21,chr1,79157,80497
Gene_22,chr1,82345,85861
Gene_23,chr1,86385,87638
Gene_24,chr1,88366,91791
Gene_25,chr1,93650,95089
Gene_26,chr1,95593,97167
Gene_27,chr1,98346,101043
Gene_28,chr1,101624,102868
Gene_29,chr1,109061,110959
Gene_30,chr1,112412,113062
Gene_31,chr1,114015,116212
Gene_32,chr1,116864,123377
Gene_33,chr1,127638,129849
Gene_34,chr1,130601,131741
Gene_35,chr1,133119,134031
Gene_36,chr1,134556,137027
Gene_37,chr1,138283,139534
Gene_38,chr1,140565,142139
Gene_39,chr1,142959,144206
Gene_40,chr1,144771,146591
Gene_41,chr1,147352,149271
Gene_42,chr1,149682,151674
Gene_43,chr1,152268,152613
Gene_44,chr1,153475,155378
Gene_45,chr1,156930,157966
Gene_46,chr1,158103,160032
Gene_47,chr1,160739,161965
Gene_48,chr1,163675,165213
Gene_49,chr1,165734,167425
Gene_50,chr1,170971,172952
Gene_51,chr1,174192,175334
Gene_52,chr1,177412,178483
Gene_53,chr1,274904,276451
Gene_54,chr1,278324,280111
Gene_55,chr1,282213,284188
Gene_56,chr1,302642,304444
Gene_57,chr1,308729,310001
Gene_58,chr1,311811,315779
Gene_59,chr1,316323,317065
Gene_60,chr1,318932,320369
Gene_61,chr1,320674,321166
Gene_62,chr1,321409,322958
Gene_63,chr1,323240,324609
Gene_64,chr1,325782,326399
Gene_65,chr1,328243,329361
Gene_66,chr1,329398,330665
Gene_67,chr1,399297,401168
Gene_68,chr1,404038,404643
Gene_69,chr1,404939,407440
Gene_70,chr1,407615,409796
Gene_71,chr1,410307,410975
Gene_72,chr1,412218,413474
Gene_73,chr1,414615,415352
Gene_74,chr1,415788,416171
Gene_75,chr1,417402,418666
Gene_76,chr1,419361,423269
Gene_77,chr1,423660,424416
Gene_78,chr1,427166,427849
Gene_79,chr1,428253,428779
Gene_80,chr1,430242,432085
Gene_81,chr1,434737,436587
Gene_82,chr1,437327,439442
Gene_83,chr1,444960,446292
Gene_84,chr1,447036,448048
Gene_85,chr1,448382,449309
Gene_86,chr1,450100,451366
Gene_87,chr1,451905,454186
Gene_88,chr1,458290,459252
Gene_89,chr1,461112,461380
Gene_90,chr1,463449,464094
Gene_91,chr1,466618,468351
Gene_92,chr1,469367,469690
Gene_93,chr1,480457,483489
Gene_94,chr1,508067,510896
Gene_95,chr1,511900,513408
Gene_96,chr1,513900,515802
Gene_97,chr1,516635,517159
Gene_98,chr1,518489,519883
Gene_99,chr1,520357,521090
Gene_100,chr1,539035,540570
Gene_101,chr1,541818,545122
Gene_102,chr1,545754,550949
Gene_103,chr1,610770,616334
Gene_104,chr1,616641,618083
Gene_105,chr1,618884,619833
Gene_106,chr1,624381,627815
Gene_107,chr1,628451,628999
Gene_108,chr1,629480,630550
Gene_109,chr1,634863,635557
Gene_110,chr1,636761,639442
Gene_111,chr1,640037,641231
Gene_112,chr1,641496,642437
Gene_113,chr1,720198,720840
Gene_114,chr1,721445,723242
Gene_115,chr1,725338,725794
Gene_116,chr1,726551,728128
Gene_117,chr1,728893,729518
Gene_118,chr1,732027,732318
Gene_119,chr1,732548,733490
Gene_120,chr1,733995,734367
Gene_121,chr1,734887,736166
Gene_122,chr1,736393,737818
Gene_123,chr1,751802,752879
Gene_124,chr1,754201,760558
Gene_125,chr1,761140,762372
Gene_126,chr1,765535,767394
Gene_127,chr1,781061,783073
Gene_128,chr1,784086,787139
Gene_129,chr1,787830,789519
Gene_130,chr1,790508,791129
Gene_131,chr1,792077,792889
Gene_132,chr1,794949,796687
Gene_133,chr1,797548,797982
Gene_134,chr1,798199,800838
Gene_135,chr1,810428,811088
Gene_136,chr1,814955,815575
Gene_137,chr1,817531,818663
Gene_138,chr1,819605,822554
Gene_139,chr1,823151,824488
Gene_140,chr1,826364,826862
Gene_141,chr1,827635,829861
Gene_142,chr1,830730,832434
Gene_143,chr1,833195,835025
Gene_144,chr1,841586,843109
Gene_145,chr1,847422,847852
Gene_146,chr1,854532,855670
Gene_147,chr1,856206,857801
Gene_148,chr1,858605,858955
Gene_149,chr1,859008,859357
Gene_150,chr1,859733,861605
Gene_151,chr1,862910,863653
Gene_152,chr1,865063,866807
Gene_153,chr1,867906,869005
Gene_154,chr1,870817,873377
Gene_155,chr1,874467,876020
Gene_156,chr1,877130,877607
Gene_157,chr1,878118,878639
Gene_158,chr1,879260,883749
Gene_159,chr1,884685,885476
Gene_160,chr1,886861,888039
Gene_161,chr1,889151,890417
Gene_162,chr1,892107,893894
Gene_163,chr1,896445,898615
Gene_164,chr1,899662,901637
Gene_165,chr1,902781,904798
Gene_166,chr1,905036,907175
Gene_167,chr1,909716,910361
Gene_168,chr1,912455,915137
Gene_169,chr1,916346,917961
Gene_170,chr1,919209,921977
Gene_171,chr1,922753,924768
Gene_172,chr1,925730,928762
Gene_173,chr1,929793,930143
Gene_174,chr1,932079,934284
Gene_175,chr1,934531,934947
Gene_176,chr1,935198,939786
Gene_177,chr1,940353,940886
Gene_178,chr1,985765,986994
Gene_179,chr1,987282,988499
Gene_180,chr1,989003,989872
Gene_181,chr1,990284,990870
Gene_182,chr1,991382,998161
Gene_183,chr1,998930,1001046
Gene_184,chr1,1001547,1002196
Gene_185,chr1,1002634,1004736
Gene_186,chr1,1005341,1007094
Gene_187,chr1,1008025,1011376
Gene_188,chr1,1011819,1013084
Gene_189,chr1,1017692,1021027
Gene_190,chr1,1021537,1022067
Gene_191,chr1,1022667,1024114
Gene_192,chr1,1025350,1031284
Gene_193,chr1,1031643,1035881
Gene_194,chr1,1036511,1037209
Gene_195,chr1,1040698,1042554
Gene_196,chr1,1044021,1045893
Gene_197,chr1,1048148,1050302
Gene_198,chr1,1050890,1051343
Gene_199,chr1,1052214,1053089
Gene_200,chr1,1055892,1056471
Gene_201,chr1,1100708,1103125
Gene_202,chr1,1103216,1104291
Gene_203,chr1,1104685,1108701
Gene_204,chr1,1110881,1112887
Gene_205,chr1,1114429,1115335
Gene_206,chr1,1116151,1117386
Gene_207,chr1,1117989,1123300
Gene_208,chr1,1125220,1126599
Gene_209,chr1,1127603,1131563
Gene_210,chr1,1134041,1135556
Gene_211,chr1,1136750,1138654
Gene_212,chr1,1139149,1140426
Gene_213,chr1,1142931,1145980
Gene_214,chr1,1147096,1148317
Gene_215,chr1,1148424,1149947
Gene_216,chr1,1150293,1152054
Gene_217,chr1,1152546,1154812
Gene_218,chr1,1156794,1159212
Gene_219,chr1,1164326,1165689
Gene_220,chr1,1166748,1168284
Gene_221,chr1,1170123,1171414
Gene_222,chr1,1172093,1173929
Gene_223,chr1,1175623,1177677
Gene_224,chr1,1179271,1180417
Gene_225,chr1,1181517,1182524
Gene_226,chr1,1182693,1184338
Gene_227,chr1,1184478,1185585
Gene_228,chr1,1186614,1191144
Gene_229,chr1,1191268,1192191
Gene_230,chr1,1192483,1193330
Gene_231,chr1,1193739,1195470
Gene_232,chr1,1195629,1198351
Gene_233,chr1,1198669,1199714
Gene_234,chr1,1200287,1201470
Gene_235,chr1,1202877,1204192
Gene_236,chr1,1206172,1207933
Gene_237,chr1,1208646,1210385
Gene_238,chr1,1213830,1214286
Gene_239,chr1,1214666,1215813
Gene_240,chr1,1217590,1218267
Gene_241,chr1,1218727,1220026
Gene_242,chr1,1220802,1222705
Gene_243,chr1,1223205,1224362
Gene_244,chr1,1225321,1226186
Gene_245,chr1,1226524,1227513
Gene_246,chr1,1227844,1229517
Gene_247,chr1,1230936,1233195
Gene_248,chr1,1234298,1238049
Gene_249,chr1,1239514,1241701
Gene_250,chr1,1242678,1244328
Gene_251,chr1,1245553,1247253
Gene_252,chr1,1247425,1249154
Gene_253,chr1,1249302,1251886
Gene_254,chr1,1252070,1256924
Gene_255,chr1,1258007,1258855
Gene_256,chr1,1260856,1263964
Gene_257,chr1,1264469,1268636
Gene_258,chr1,1318027,1319151
Gene_259,chr1,1322359,1323011
Gene_260,chr1,1325022,1326822
Gene_261,chr1,1332721,1334852
Gene_262,chr1,1335761,1337458
Gene_263,chr1,1338275,1340852
Gene_264,chr1,1342092,1344789
Gene_265,chr1,1345415,1346517
Gene_266,chr1,1346923,1348352
Gene_267,chr1,1352915,1353600
Gene_268,chr1,1355552,1355994
Gene_269,chr1,1356448,1361354
Gene_270,chr1,1363683,1365589
Gene_271,chr1,1400783,1402297
Gene_272,chr1,1402836,1406961
Gene_273,chr1,1407604,1408503
Gene_274,chr1,1409754,1412599
Gene_275,chr1,1414897,1417522
Gene_276,chr1,1418289,1418600
Gene_277,chr1,1418795,1422225
Gene_278,chr1,1422726,1426319
Gene_279,chr1,1427442,1429049
Gene_280,chr1,1429664,1432546
Gene_281,chr1,1432662,1434184
Gene_282,chr1,1434471,1436395
Gene_283,chr1,1438947,1441557
Gene_284,chr1,1444097,1447108
Gene_285,chr1,1448137,1449552
Gene_286,chr1,1451416,1452521
